iter	Logloss
0	0.5522247426
1	0.4731660552
2	0.4198930517
3	0.3776373727
4	0.3531809815
5	0.3296484911
6	0.3177118109
7	0.3082899149
8	0.3017968362
9	0.2928818088
10	0.2894761128
11	0.286418
12	0.2839841963
13	0.2821816191
14	0.2805819483
15	0.2776348474
16	0.2759493032
17	0.2746676182
18	0.2737095965
19	0.2727200649
20	0.27194142
21	0.2705494654
22	0.2695724893
23	0.2687188832
24	0.2669485463
25	0.2663076545
26	0.2657857826
27	0.2653022012
28	0.2646423031
29	0.2641476345
30	0.2635820027
31	0.2631348907
32	0.2626176634
33	0.2622764191
34	0.2611236318
35	0.2607419478
36	0.2596420423
37	0.2591864908
38	0.2589043075
39	0.2585895837
40	0.2580139039
41	0.2572085367
42	0.2569091681
43	0.2565203762
44	0.2561605403
45	0.2557779989
46	0.2550964128
47	0.2547978845
48	0.2545750621
49	0.254119194
50	0.2534472573
51	0.2528702278
52	0.2526247617
53	0.2522849633
54	0.2520194343
55	0.2518440556
56	0.2515261929
57	0.2511032048
58	0.2509428067
59	0.2507846482
60	0.2505673666
61	0.2503359601
62	0.2501102273
63	0.2499237474
64	0.2496369282
65	0.2494668093
66	0.2492001629
67	0.2490264971
68	0.2488116846
69	0.2486165415
70	0.2484605622
71	0.2482243222
72	0.2479295868
73	0.2477744013
74	0.2476867707
75	0.2473985575
76	0.2472326237
77	0.2471017419
78	0.2469540627
79	0.2467544452
80	0.2466471721
81	0.2462019735
82	0.2460981057
83	0.2458765651
84	0.2455913659
85	0.2454678511
86	0.2453011142
87	0.2451900892
88	0.2449572184
89	0.2447477483
90	0.2446210127
91	0.2444901692
92	0.2443041454
93	0.2441621415
94	0.2440405004
95	0.2439180931
96	0.2438219232
97	0.2436967833
98	0.2434770348
99	0.2432266441
100	0.2430615611
101	0.2429128206
102	0.2428088586
103	0.2427006866
104	0.2424452174
105	0.2422862024
106	0.2421809986
107	0.2420826866
108	0.2418203149
109	0.2416552787
110	0.2414432128
111	0.241313893
112	0.241185488
113	0.2409846989
114	0.2407617276
115	0.2406684923
116	0.2404849822
117	0.2403668874
118	0.2402828768
119	0.2401869462
120	0.2400833046
121	0.2399497799
122	0.2398451114
123	0.2396650097
124	0.2395671987
125	0.2394172924
126	0.2393173985
127	0.2392406796
128	0.2391403437
129	0.2389933618
130	0.2388809533
131	0.2387243813
132	0.2385226088
133	0.2384492295
134	0.2383412195
135	0.2382549197
136	0.2381214243
