iter	Passed	Remaining
0	55	55323
1	97	48635
2	139	46335
3	177	44218
4	218	43406
5	259	43026
6	298	42356
7	339	42145
8	377	41589
9	422	41791
10	460	41383
11	500	41237
12	546	41523
13	591	41645
14	635	41732
15	676	41632
16	720	41668
17	763	41674
18	805	41566
19	844	41385
20	892	41606
21	939	41765
22	981	41674
23	1024	41654
24	1069	41708
25	1118	41896
26	1161	41865
27	1209	41999
28	1255	42034
29	1297	41941
30	1343	41993
31	1384	41888
32	1424	41740
33	1468	41710
34	1514	41748
35	1552	41578
36	1597	41574
37	1638	41479
38	1683	41494
39	1725	41416
40	1767	41351
41	1812	41332
42	1860	41405
43	1917	41663
44	1956	41516
45	1998	41456
46	2037	41317
47	2076	41179
48	2120	41158
49	2163	41097
50	2203	41000
51	2255	41122
52	2306	41207
53	2356	41284
54	2401	41263
55	2443	41192
56	2486	41140
57	2524	40999
58	2567	40943
59	2609	40887
60	2651	40812
61	2692	40737
62	2731	40626
63	2775	40598
64	2822	40597
65	2867	40583
66	2910	40524
67	2950	40438
68	2996	40433
69	3039	40385
70	3083	40345
71	3121	40238
72	3168	40239
73	3210	40180
74	3256	40165
75	3304	40172
76	3348	40142
77	3398	40174
78	3449	40219
79	3497	40218
80	3543	40204
81	3589	40183
82	3631	40124
83	3677	40101
84	3717	40020
85	3766	40032
86	3814	40033
87	3865	40057
88	3912	40046
89	3955	39990
90	3995	39911
91	4039	39870
92	4082	39812
93	4119	39708
94	4159	39628
95	4198	39538
96	4243	39508
97	4290	39493
98	4334	39445
99	4377	39396
100	4417	39322
101	4463	39294
102	4505	39236
103	4550	39204
104	4592	39142
105	4639	39130
106	4688	39126
107	4735	39111
108	4783	39103
109	4832	39098
110	4876	39057
111	4920	39010
112	4964	38965
113	5009	38935
114	5051	38877
115	5094	38827
116	5134	38751
117	5181	38730
118	5224	38682
119	5266	38618
120	5305	38540
121	5345	38469
122	5387	38412
123	5431	38367
124	5474	38322
125	5517	38273
126	5561	38229
127	5602	38169
128	5652	38167
129	5695	38117
130	5741	38084
131	5787	38055
132	5830	38011
133	5873	37955
134	5912	37882
135	5961	37873
136	6008	37849
137	6053	37811
138	6107	37828
139	6150	37780
140	6195	37741
141	6243	37726
142	6284	37662
143	6326	37606
144	6368	37552
145	6408	37486
146	6451	37438
147	6493	37378
148	6535	37329
149	6578	37279
150	6620	37226
151	6661	37165
152	6707	37133
153	6750	37085
154	6799	37070
155	6849	37056
156	6898	37043
157	6947	37021
158	6992	36987
159	7032	36922
160	7073	36862
161	7115	36809
162	7156	36747
163	7200	36704
164	7242	36653
165	7291	36635
166	7336	36592
167	7377	36538
168	7417	36472
169	7463	36438
170	7512	36419
171	7554	36367
172	7601	36337
173	7649	36313
174	7694	36273
175	7737	36223
176	7780	36175
177	7831	36163
178	7867	36086
179	7918	36073
180	7961	36026
181	8008	35994
182	8048	35931
183	8092	35889
184	8138	35854
185	8176	35784
186	8217	35726
187	8259	35672
188	8303	35628
189	8343	35569
190	8381	35501
